"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_2",0.292357678,0.145611707,0.136112259,1.647863498,1.68224239,0.518952419,0.558424445,0.623321243,0.729403799
"union_peak_15",0.257274757,0.34785019,0.255210486,1.02402946,0.871819049,0.335019916,0.345207839,0.696042055,0.583523039
"union_peak_17",0.994016107,0.598625908,0.884729683,0.270720432,0.208745406,0.157656431,0.538118102,0.550600432,0.323021682
"union_peak_28",1.005710414,1.423758916,1.420671703,0.600293132,0.56484051,0.341588934,0.406126869,0.997313989,0.760663962
"union_peak_31",1.379928242,1.318594905,1.233517347,0.3295727,0.417490812,0.144518395,0.274135637,0.945370553,1.21914635
"union_peak_53",0.198803221,0.153701247,0.034028065,1.294749892,1.584009258,1.688237617,1.81741774,1.547914421,1.625528466
"union_peak_61",0.713352735,0.841312087,0.910250732,3.695922418,4.08895413,3.054593354,2.101706548,1.714133419,1.698468846
"union_peak_67",0.1637203,0.080895393,0.034028065,1.424224881,1.584009258,0.932800551,0.995010829,0.903815803,0.63562331
"union_peak_89",0.350829214,0.307402493,0.323266615,1.400683974,1.191076729,1.977274408,2.284463639,1.527137046,1.573428195
"union_peak_91",1.298068092,1.011192412,1.046362991,0.282490885,0.368374246,0.229915629,0.324901495,0.893427116,1.114945807
"union_peak_93",1.087570564,0.630984065,0.680561295,0.129474989,0.233303689,0.078828216,0.101531717,0.373992746,0.312601628
"union_peak_108",0.210497528,0.493461897,0.365801696,1.165274902,1.424380418,1.675099581,1.401137699,0.747985492,0.729403799
"union_peak_151",0.432689364,0.2265071,0.204168388,1.577240777,1.313868144,0.959076623,0.913785456,0.997313989,0.896124667
"union_peak_153",0.90046165,1.051640108,0.952785813,0.176556803,0.110512274,0.085397234,0.172603919,0.218162435,0.364701899
"union_peak_163",0.619798278,0.986923794,0.816673554,0.317802246,0.184187123,0.249622683,0.192910263,0.498656995,0.531422768
"union_peak_188",0.397606443,0.396387425,0.272224518,1.953895291,1.854150371,1.083887964,1.066083032,0.789540242,0.687723582
