"","chr","start","end","Cn_R_group"
"union_peak_2","chr1",4747674,4748693,"A"
"union_peak_15","chr1",6466424,6467720,"A"
"union_peak_17","chr1",7095673,7096600,"D"
"union_peak_28","chr1",9847257,9848800,"E"
"union_peak_31","chr1",9882792,9883702,"DE"
"union_peak_53","chr1",13382050,13383919,"ABC"
"union_peak_61","chr1",13558865,13560350,"A"
"union_peak_67","chr1",13639072,13640190,"ABC"
"union_peak_89","chr1",16746715,16747866,"ABC"
"union_peak_91","chr1",20824934,20825636,"DE"
"union_peak_93","chr1",20912568,20913338,"DE"
"union_peak_108","chr1",23915167,23916300,"AB"
"union_peak_151","chr1",34851456,34852964,"ABC"
"union_peak_153","chr1",35653098,35653960,"DEF"
"union_peak_163","chr1",36148706,36149799,"DE"
"union_peak_188","chr1",36719651,36720671,"A"
"union_peak_200","chr1",36919713,36920684,"DE"
"union_peak_214","chr1",37326622,37328085,"ABC"
"union_peak_228","chr1",37696638,37697508,"DEF"
"union_peak_236","chr1",38664375,38666011,"E"
"union_peak_237","chr1",38694000,38694906,"E"
"union_peak_245","chr1",39090839,39091779,"DEF"
"union_peak_247","chr1",39101852,39102760,"DEF"
"union_peak_252","chr1",39555575,39556287,"DEF"
"union_peak_255","chr1",39713328,39714589,"DE"
"union_peak_258","chr1",39746284,39746994,"DEF"
"union_peak_262","chr1",39842141,39843718,"E"
"union_peak_274","chr1",39986548,39987706,"ABC"
"union_peak_276","chr1",40051416,40052995,"ABC"
"union_peak_280","chr1",40283135,40284222,"AB"
"union_peak_284","chr1",40380153,40381464,"ABC"
"union_peak_286","chr1",40385894,40386843,"ABC"
"union_peak_287","chr1",40391285,40392557,"ABC"
"union_peak_288","chr1",40392902,40394038,"ABC"
"union_peak_292","chr1",40469503,40470533,"AB"
"union_peak_296","chr1",40501292,40502535,"ABC"
"union_peak_299","chr1",40514749,40516904,"ABC"
"union_peak_300","chr1",40523635,40524701,"ABC"
"union_peak_313","chr1",43138339,43139750,"ABC"
"union_peak_314","chr1",43144422,43145531,"B"
"union_peak_330","chr1",43500289,43501573,"E"
"union_peak_331","chr1",43519845,43521254,"A"
"union_peak_332","chr1",43534386,43535074,"AB"
"union_peak_334","chr1",43539584,43540416,"AB"
"union_peak_339","chr1",43843268,43844048,"A"
"union_peak_340","chr1",43880018,43881225,"E"
"union_peak_373","chr1",51500918,51502020,"ABC"
"union_peak_379","chr1",51569456,51571083,"ABC"
"union_peak_380","chr1",51572128,51573232,"AB"
"union_peak_394","chr1",52034454,52035747,"ABC"
"union_peak_395","chr1",52039280,52040963,"ABC"
"union_peak_396","chr1",52052506,52053475,"ABC"
"union_peak_399","chr1",52066502,52067894,"BC"
"union_peak_410","chr1",52363347,52364313,"ABC"
"union_peak_412","chr1",52374236,52375820,"ABC"
"union_peak_417","chr1",52577757,52579224,"A"
"union_peak_461","chr1",54421245,54422338,"DEF"
"union_peak_473","chr1",54660244,54661376,"ABC"
"union_peak_483","chr1",54858757,54859730,"B"
"union_peak_521","chr1",58300925,58301607,"DE"
"union_peak_523","chr1",58310981,58311943,"DEF"
"union_peak_546","chr1",59481409,59482577,"E"
"union_peak_547","chr1",59602318,59603307,"E"
"union_peak_560","chr1",60074740,60075885,"E"
"union_peak_575","chr1",60482367,60484022,"A"
"union_peak_576","chr1",60530096,60531335,"AB"
"union_peak_591","chr1",60776572,60777834,"E"
"union_peak_592","chr1",60781407,60782156,"DE"
