"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"1","chr13",73709462,73710124,"union_peak_15145","chr13",73709349,73710699,"union_peak_9332",662
"2","chr3",97294373,97294909,"union_peak_33924","chr3",97294210,97295094,"union_peak_21125",536
"3","chr6",124750403,124750907,"union_peak_43898","chr6",124750222,124750917,"union_peak_27415",504
"4","chr13",58067211,58068225,"union_peak_14921","chr13",58067173,58068247,"union_peak_9166",1014
"5","chr3",115933393,115934019,"union_peak_34405","chr3",115933317,115934182,"union_peak_21427",626
"6","chr6",67184460,67185022,"union_peak_42674","chr6",67183673,67185262,"union_peak_26649",562
"7","chr10",121886678,121887250,"union_peak_6499","chr10",121886641,121887432,"union_peak_4082",572
"8","chr3",100561691,100562330,"union_peak_33985","chr3",100561767,100562862,"union_peak_21153",563
"9","chr10",43739955,43740727,"union_peak_4559","chr10",43740256,43740825,"union_peak_2859",471
"10","chr9",14092774,14093618,"union_peak_50797","chr9",14092699,14093726,"union_peak_31666",844
"11","chr9",121454639,121455426,"union_peak_53651","chr9",121454483,121455669,"union_peak_33419",787
"12","chr10",5448224,5448860,"union_peak_3679","chr10",5447988,5449029,"union_peak_2286",636
"13","chr17",51805249,51806135,"union_peak_24097","chr17",51805165,51805786,"union_peak_15002",537
"14","chr18",65318727,65319515,"union_peak_25898","chr18",65318776,65319574,"union_peak_16118",739
"15","chr8",125558568,125558980,"union_peak_50555","chr8",125558555,125559366,"union_peak_31506",412
"16","chr12",3548369,3549102,"union_peak_11308","chr12",3547582,3548908,"union_peak_6993",539
"17","chr16",57402757,57403462,"union_peak_21713","chr16",57402518,57403441,"union_peak_13479",684
"18","chr9",15550318,15551145,"union_peak_50858","chr9",15550247,15551498,"union_peak_31699",827
"19","chr1",60776711,60777575,"union_peak_913","chr1",60776571,60777834,"union_peak_591",864
"20","chr3",101407215,101407939,"union_peak_34037","chr3",101407127,101408175,"union_peak_21189",724
"21","chr2",169958479,169959075,"union_peak_32148","chr2",169958531,169959167,"union_peak_19971",544
"22","chr10",40462009,40462688,"union_peak_4439","chr10",40461988,40463480,"union_peak_2783",679
"23","chr1",36148852,36149705,"union_peak_233","chr1",36148705,36149799,"union_peak_163",853
"24","chr10",128990331,128991500,"union_peak_6742","chr10",128990459,128991709,"union_peak_4242",1041
"25","chr5",64040588,64041152,"union_peak_39120","chr5",64040500,64041258,"union_peak_24431",564
"26","chr6",142917289,142918134,"union_peak_44420","chr6",142915176,142918046,"union_peak_27783",757
"27","chr11",104661071,104661867,"union_peak_10354","chr11",104660900,104661774,"union_peak_6444",703
"28","chr10",96136545,96137256,"union_peak_5949","chr10",96136502,96137401,"union_peak_3720",711
"29","chr1",39713332,39714427,"union_peak_391","chr1",39713327,39714589,"union_peak_255",1095
"30","chr10",119005474,119005920,"union_peak_6415","chr10",119005305,119005958,"union_peak_4029",446
"31","chr2",72144825,72146684,"union_peak_29906","chr2",72144730,72146610,"union_peak_18630",1785
"32","chr10",68673538,68674108,"union_peak_5022","chr10",68673315,68674209,"union_peak_3142",570
"33","chr11",6704876,6705394,"union_peak_7011","chr11",6704572,6705664,"union_peak_4416",518
"34","chr4",53159625,53160282,"union_peak_35824","chr4",53158902,53160255,"union_peak_22368",630
"35","chr1",35653250,35653850,"union_peak_219","chr1",35653097,35653960,"union_peak_153",600
"36","chr1",164457882,164458885,"union_peak_2829","chr1",164458125,164458832,"union_peak_1763",707
"37","chr9",114509640,114510285,"union_peak_53369","chr9",114509585,114510326,"union_peak_33262",645
