peak,chr,start,end,group
union_peak_10057,chr14,25421586,25422745,B
union_peak_4377,chr11,5998077,5998964,B
union_peak_9788,chr13,113046750,113047543,B
union_peak_27766,chr6,142570931,142573450,B
union_peak_27270,chr6,118018562,118019206,B
union_peak_21825,chr3,152908022,152908427,B
union_peak_20511,chr3,53185257,53186072,B
union_peak_4842,chr11,49810849,49812057,B
union_peak_20512,chr3,53230693,53231358,B
union_peak_32268,chr9,56295467,56296988,B
union_peak_1137,chr1,119712594,119714267,B
union_peak_21455,chr3,116855444,116856485,B
union_peak_16397,chr18,82559196,82560553,B
union_peak_28958,chr7,75649705,75650710,B
union_peak_19033,chr2,109318687,109319735,B
union_peak_29165,chr7,90004214,90004656,B
union_peak_3978,chr10,118095907,118096783,B
union_peak_18347,chr2,45114518,45115352,B
union_peak_7767,chr12,82214823,82215624,B
union_peak_29178,chr7,90145121,90146925,B
union_peak_2414,chr10,17427291,17428217,B
union_peak_17178,chr19,40665725,40666454,B
union_peak_6529,chr11,107407566,107408394,B
union_peak_17028,chr19,32221534,32222290,B
union_peak_20803,chr3,87321784,87323710,B
union_peak_28960,chr7,75666822,75667550,B
union_peak_25911,chr5,147163096,147163441,B
union_peak_9808,chr13,113265200,113267243,B
union_peak_11011,chr14,105287694,105288688,B
union_peak_10366,chr14,54023914,54024761,B
union_peak_314,chr1,43144422,43145531,B
union_peak_5126,chr11,59397451,59398470,B
union_peak_9795,chr13,113100731,113101414,B
union_peak_2712,chr10,37337074,37337991,B
union_peak_9796,chr13,113101703,113102193,B
union_peak_1898,chr1,171661159,171661977,B
union_peak_1853,chr1,170977055,170977320,B
union_peak_27178,chr6,112948043,112949121,B
union_peak_14998,chr17,51759915,51760610,B
union_peak_892,chr1,86580326,86581005,B
union_peak_7192,chr12,25155290,25156132,B
union_peak_1730,chr1,162564773,162565643,B
union_peak_20132,chr2,181800720,181801893,B
union_peak_2893,chr10,45002677,45003776,B
union_peak_13439,chr16,55664158,55665338,B
union_peak_22577,chr4,84007705,84008462,B
union_peak_27210,chr6,114642607,114644974,B
union_peak_2475,chr10,19209303,19210350,B
union_peak_28693,chr7,51672130,51673107,B
union_peak_7264,chr12,31995927,31997548,B
union_peak_8964,chr13,46364373,46365060,B
union_peak_27763,chr6,142538281,142539259,B
union_peak_2957,chr10,58463158,58464708,B
union_peak_8931,chr13,45623589,45624448,B
union_peak_13616,chr16,78524447,78525301,B
union_peak_18103,chr2,31665722,31666353,B
union_peak_29176,chr7,90132233,90133127,B
union_peak_13856,chr16,96089511,96090218,B
union_peak_31535,chr8,126722600,126723645,B
union_peak_9514,chr13,95764662,95765811,B
union_peak_483,chr1,54858757,54859730,B
union_peak_32198,chr9,50739120,50740024,B
union_peak_1850,chr1,170934077,170934941,B
union_peak_24349,chr5,44012742,44013525,B
union_peak_8593,chr13,21995790,21997250,B
union_peak_27332,chr6,120470736,120471916,B
union_peak_27064,chr6,99335109,99335961,B
union_peak_25089,chr5,112084623,112085703,B
union_peak_11678,chr15,60122804,60123171,B
union_peak_13763,chr16,92824034,92824599,B
union_peak_7166,chr12,21456963,21457719,B
union_peak_32888,chr9,94607090,94608099,B
union_peak_15838,chr18,36511977,36512935,B
union_peak_11205,chr15,6519746,6520677,B
union_peak_28159,chr7,19859882,19860367,B
union_peak_11088,chr14,121408668,121409474,B
union_peak_19778,chr2,163800431,163801919,B
union_peak_31986,chr9,41112858,41113825,B
union_peak_26269,chr6,37821260,37822382,B
union_peak_30135,chr8,13642884,13643796,B
union_peak_25131,chr5,113652016,113652758,B
union_peak_24572,chr5,66199607,66200656,B
union_peak_21241,chr3,103843869,103845247,B
union_peak_18660,chr2,73346043,73347135,B
union_peak_15661,chr18,14675634,14676391,B
union_peak_17005,chr19,29960199,29961342,B
union_peak_16812,chr19,11571238,11572436,B
union_peak_29977,chr7,141268511,141269358,B
union_peak_31345,chr8,120563652,120564641,B
union_peak_7157,chr12,21370254,21370983,B
union_peak_10286,chr14,49219790,49220291,B
union_peak_28957,chr7,75644183,75645401,B
union_peak_18346,chr2,45103048,45103739,B
union_peak_16043,chr18,57249042,57250203,B
union_peak_22807,chr4,107357440,107358910,B
union_peak_11500,chr15,38634690,38635892,B
